track_id,track_name,artist_name,release_year,popularity,danceability,energy,tempo,duration_ms,streams
T100000,Light Story,Doja Cat,2001,80,0.636,0.61,171.57,289950,200577177
T100001,Night Alive,Ed Sheeran,2014,75,0.789,0.626,115.51,147501,100350725
T100002,Fire Rhythm,Drake,2023,79,0.42,0.419,105.96,122670,437144101
T100003,Dance Sound,Imagine Dragons,2009,50,0.767,0.561,144.71,312510,118464598
T100004,Dream High,Harry Styles,2005,72,0.487,0.939,98.24,135135,153714835
T100005,Love Forever,Post Malone,2002,41,0.508,0.767,68.2,211739,273743719
T100006,Night Story,Doja Cat,2023,29,0.705,0.209,168.17,170763,106498225
T100007,Dream Alive,Ariana Grande,2015,66,0.788,0.291,136.18,178060,499853944
T100008,Heart Paradise,Kendrick Lamar,2001,59,0.7,0.921,84.86,296661,202094142
T100009,Dream High,Doja Cat,2020,89,0.875,0.862,62.21,292713,16805765
T100010,Moon Story,Harry Styles,2013,34,0.414,0.579,146.82,159932,290026077
T100011,Heart Again,Taylor Swift,2017,21,0.875,0.681,162.34,201052,50094587
T100012,Dream Sound,Ed Sheeran,2005,80,0.298,0.426,108.68,282525,82784384
T100013,Night Again,Bad Bunny,2005,48,0.695,0.818,69.71,297731,40471694
T100014,Love Alive,Doja Cat,2018,26,0.611,0.671,137.83,157024,47863328
T100015,Love Paradise,Ed Sheeran,2015,54,0.571,0.742,95.63,206189,495388540
T100016,Dream Again,Billie Eilish,1998,20,0.433,0.492,77.27,236210,33432215
T100017,Dance Paradise,Dua Lipa,2002,79,0.578,0.536,121.25,277007,451562681
T100018,Sky Story,Ariana Grande,2018,32,0.321,0.362,117.82,318681,87252553
T100019,Dance Alone,Taylor Swift,1997,79,0.477,0.939,122.01,279223,285235484
T100020,Shadow Story,Ed Sheeran,2016,47,0.274,0.938,158.87,156138,136319830
T100021,Light Forever,Kendrick Lamar,2015,11,0.629,0.838,118.15,319092,433821778
T100022,Fire Alone,Post Malone,1996,95,0.272,0.93,168.06,159670,176648999
T100023,Dream Forever,Bad Bunny,2018,93,0.32,0.719,161.02,291245,171749388
T100024,Dream Forever,The Weeknd,2006,98,0.264,0.383,138.13,147981,490067309
T100025,Moon Paradise,Travis Scott,2000,88,0.486,0.793,66.82,123384,161153364
T100026,Dream Rhythm,Ariana Grande,1996,81,0.831,0.454,163.79,180416,129963812
T100027,Night Again,Billie Eilish,2022,46,0.88,0.544,168.67,269149,208209088
T100028,Dance Rhythm,Drake,2015,58,0.254,0.414,105.01,189719,170235734
T100029,Dream Rhythm,Post Malone,1995,61,0.676,0.53,123.14,212401,321410550
T100030,Moon Alive,Doja Cat,2006,42,0.713,0.73,93.72,244035,265145553
T100031,Night Rhythm,Billie Eilish,2020,31,0.6,0.286,61.77,218901,101586426
T100032,Heart Tonight,Harry Styles,2016,14,0.7,0.282,117.53,216254,415778011
T100033,Sky Forever,Drake,2023,27,0.375,0.733,75.52,127495,200607083
T100034,Moon Again,Post Malone,2006,47,0.567,0.808,82.0,212270,154029499
T100035,Shadow Sound,Harry Styles,2019,46,0.493,0.63,117.69,185231,480380898
T100036,Love Again,Post Malone,2011,73,0.267,0.342,164.04,175369,315738219
